56.0000,745.0000,334.0000
-276840147933050843046747456768534978964489117662826232192904194520073327216425614752337625088.0000,464356038692312214589449297977347164999790502514883973807200137129058379843873627768121982976.0000,-5316971650631385413512956370235174022031360614132008493657024971771700000422557010006623911936.0000
4475143351719093301392456108399158275538080542415994856736182741507615119132842501603864870912.0000,-7506352871502795873237000738756233132167742617870301458983435297306869044630902274895690858496.0000,85949276184306065203766176356947225843169817866080081545275862532753984152837146777583660040192.0000
-72341053737909321789478344074654679317085651806269264183501284175786569203055228199560670085120.0000,121340800456034005875983020926334233078531945093390193424420015411751084212716736758669752926208.0000,-1389376991643145467359842029352495140178238097979080898618183911413431903173028584830189715849216.0000
1169398976660888511771535144539465744496396406149646710767076761118041480005388082233120686866432.0000,-1961483840069372990777999603139654107958670565513788267542155032228837295344053374707391453462528.0000,22459391289904004101182057392631322674677872079082852860241066917688206187539334862859799860609024.0000
-18903428910089498270806858244170466308119864540812497406584951357041286526853044845762615709794304.0000,31707544703789441506856925994398851601807059848088774245300369354288785131361019595645971127599104.0000,-363057874246541827449686698888219532257928023879077926419091424605016338271614013819528751915991040.0000
305575455161725809457639383144848665381475445698116913547393918211710187662257124135556104752988160.0000,-512555021155437259832069254242691336684148022362426123163587219679692894964310044808850318137753600.0000,5868859861383231990173987952397034651451243013353027940213079334409526568969127082363199512540872704.0000
-4939651914021656816999126838078717599489042101763292701058549908977298413468995649101063497824862208.0000,8285493316051475753007045855988843595480185315354867160289218477799441193946874593368773696411402240.0000,-94870593687125612587957487311366431203818954780378635858151446300471581222037010935219215312158195712.0000
79849872165891191686998786437494728124437128612823570908331738249830938365972950245859086265181274112.0000,-133935668673344428296904569029256946677800342983278136060536569976265541921580280700358073502761222144.0000,1533590809651121405354158907098770690698939626662301147498678553195780857589838837566432650695779811328.0000
-1290779633036549684882818308775920701837993613817596882700477618718354143969070148640104791596611928064.0000,2165080902089819096089299785501469521835234838350455676569338262650081968681869359838200974482784387072.0000,-24790619306154357358496364546494488284258432339388399746781959227178637040965421575408585147726887387136.0000
20865557024318810052178602861863923750274995668626779641829193426213303740371903365794421115076405624832.0000,-34998707655886551551031895497523814739487925581890732657908039373434473444352602431533143846795895373824.0000,400742363422537458238993777327546962954820710366385364497036493791741035010803509841314420616811679580160.0000
-337293414609348738339096892472441035988272242556257996856199077001620603720767250604024571800071681605632.0000,565756936103349457723947585581316009911846427870230562667783218593509730492263218651365910387625260220416.0000,-6478032672689744288972972597673728722242678123809965816982510881008249658086468402086356428570107538571264.0000
5452375290352362052373112119971225655026873274088684014577513811202673703191532690744873220182638088683520.0000,-9145506568303642972726373682315139833576236594184919456452463675451182547341184847113544885352744416706560.0000,104717921384789029315976312464936549787201556675056421275783087147771907578379332851504533164049240988581888.0000
-88138086956948934598019957928931327766413470482624194550957251023633604591822119506535911858043118241710080.0000,147837852359279117086435466912331770283937791040384959764050203888397319954092516827546495431430000837918720.0000,-1692773657252600549917388779128254416024627046413891081551088929070184242424291319246771760886026623399231488.0000
1424759294573184021917081656520021055957651208919053543814332777405523482240557826588419881663672786073157632.0000,-2389810824252458974264884918652120083779890185162291032865602631960012247652931886091049614123813990039552000.0000,27363822894832351367748586082350965237186275066763640867056081527725088189033824981812755101161914458915733504.0000
-23031349074597015452602455878962049744193107541288911208213435187415986654038259979239672565052543426860417024.0000,38631484999083525677026774819962939302946988037847516560186738833218353418899754035679472904925814621340696576.0000,-442338407271194943423484681865517942777498252090939874498645445921202519274572861478231172474238653894104186880.0000
372303618033139940092362523499474044985696246173528885569718367320129612529704404064201474739030032039882522624.0000,-624481075275588453108553261447898228997129308238873867537276638937962893807906670932662534897287703854548254720.0000,7150436081216142970088649241690054215478696541138152420809404393380329235428180575351290343492803280641464467456.0000
-6018318056472405035672390772684514771172151156604739450326402994361161820691523214685683280705100658570254352384.0000,10094787021172157111258112531272195944192235870470859642508088923311225255803832548678134541451211662615157669888.0000,-115587376793647853074788626653481287290789876061523904300662452675379708033814343394452821159472227173338592575488.0000
97286597482481912710179954703529169624723150836213186735958483816089187700899437592002053370416229306938490355712.0000,-163183047553289662419799869406728113840355278611534327576440024092157892188819596471062156699760395908153218170880.0000,1868479281862818013747986332182239470235897329205326596768456937398315996345195099558404978078323762462889282109440.0000
-1572645706143705087265094148689598177345756304029089626948593567728771834835471358279091896662413682014880201179136.0000,2637867143995197711539020665888974979451044413073608481156802294723180535621940564086168901463652452505430517612544.0000,-30204118508401443936136618062635426816542699443758037150897573413224995958030004388162562658834797333427927459561472.0000
25421944862421317792183232034061164527251952610457677495493610348922585872674320738569825110047803677403921189437440.0000,-42641335443236151846668319501446396646093592036675389946801190056587544857504731898806941193248577698290022471434240.0000,488252015275242551710144308448508136646833172230591769802902662324619881529186349996984201221124169907045942077423616.0000
-410947792031763926355175620241802067577185732859760628987665296708081426933545299358082582500953039377127254274342912.0000,689300631580973369179671356970090944644993664355392040386917780806366783923038270290337223780210739902577465662373888.0000,-7892633263044118153389602766032311664776284613393440125117408831262647644146112857817236561336538354640761240057544704.0000
6643004250450454193457260564023462933345362862539312815112343014045855126595019429334584797684813114481273097213181952.0000,-11142600384324867180163945646088720298750715352154992208240676145543664016753338522931330120868730834288051450833534976.0000,127585054185170323352133345280304265478592589834481077456793698906870351348986203705403585565115108447932051674080739328.0000
-107384700264046763926828789320139279830818844563772461139497603016244311325991685588562070133143912921966610490731790336.0000,180121035200548320652538764793485682496180246788579453964912520998164618554190039022640049675263556027913162958810644480.0000,-2062422705949293494521791269984274817329318453299515007273667625446119843877463745231078496960217950257441544840155234304.0000
1735882353231556915060377753850852183802895862756452405277185379017404553299494806734244888963859869517280304083983400960.0000,-2911671082394554696639576348966826297544062159515263795329863110051276970850798821206790458571531277799890780468147126272.0000,33339229623571494687012196703725266752133391987009773171887052678206223125832304677368150647265731927823707541183142035456.0000
-28060678447221950574630270079982529866855855830998777334159943867850900254326264507609010487919395147714207831269675368448.0000,47067398222608408633485974528969376164202060748617600153113359501991281324166902214553238742123553451697460750211453288448.0000,-538931339674920350845666901451934213294163368909440194491516540040988350534872018306696698846588954960146332870777331777536.0000
